id,name,country,latitude,longitude,temp,temp_max,temp_min,humidity,cloudiness,wind_speed
2451478,Ségou,ML,13.43,-6.22,82.27,82.27,82.27,26.0,0,5.84
150436,Rulenge,TZ,-2.72,30.63,62.85,62.85,62.85,93.0,82,3.53
6141439,Sault Ste. Marie,CA,46.52,-84.33,36.36,37.4,35.6,86.0,90,8.05
2112802,Hasaki,JP,35.73,140.83,68.38,70.0,66.99,49.0,40,12.75
1061605,Manakara,MG,-22.13,48.02,70.09,70.09,70.09,88.0,26,4.52
2548885,Fes,MA,34.04,-5.0,68.0,68.0,68.0,72.0,90,3.36
2464701,Tataouine,TN,32.93,10.45,59.0,59.0,59.0,58.0,0,1.12
3380402,Saint-Georges,GF,3.9,-51.8,74.3,74.3,74.3,91.0,88,2.17
2155562,Nelson Bay,AU,-32.72,152.15,74.52,75.2,73.99,50.0,20,18.34
1862505,Hirara,JP,24.8,125.28,79.54,80.6,78.8,88.0,75,18.34
3374210,São Filipe,CV,14.9,-24.5,82.67,82.67,82.67,68.0,55,3.33
4004293,Ixtapa,MX,20.7,-105.2,84.2,84.2,84.2,83.0,20,2.24
